,tick,lat,lng,trip_no,mercato_x,mercato_y
0,1561946460.0,50.96081,6.94791,0,773437.8032774933,6614364.391011688
1,1561946471.0,50.96094,6.94877,0,773533.5380395756,6614387.367136989
2,1561946482.0,50.96216,6.94838,0,773490.1234381662,6614602.99236862
3,1561946493.0,50.9623,6.9494,0,773603.6693187753,6614627.736609814
4,1561946504.0,50.96146,6.94966,0,773632.6123863816,6614479.272281078
5,1561946515.0,50.96075,6.94982,0,773650.4235049086,6614353.786667845
6,1561946526.0,50.9608,6.94989,0,773658.2158692641,6614362.623620095
7,1561946537.0,50.96083,6.94996,0,773666.0082336196,6614367.925796012
8,1561946548.0,50.96085,6.95004,0,773674.913792883,6614371.460581854
9,1561946559.0,50.96093,6.9517,0,773859.7041475999,6614385.599740453
10,1561946570.0,50.96092,6.95184,0,773875.2888763109,6614383.832344299
11,1561946581.0,50.96102,6.95277,0,773978.8160027488,6614401.506322976
12,1561946592.0,50.96102,6.95306,0,774011.0986550787,6614401.506322976
13,1561946603.0,50.96116,6.95426,0,774144.6820440306,6614426.249957031
14,1561946614.0,50.96116,6.95434,0,774153.587603294,6614426.249957031
15,1561946625.0,50.96114,6.95449,0,774170.2855269131,6614422.715147604
16,1561946636.0,50.96118,6.95636,0,774378.4529746965,6614429.7847679835
17,1561946647.0,50.96116,6.9583,0,774594.4127868356,6614426.249957031
18,1561946658.0,50.96109,6.95999,0,774782.5427262762,6614413.878130683
19,1561946669.0,50.96107,6.96024,0,774810.3725989744,6614410.343326579
20,1561946680.0,50.96111,6.96127,0,774925.0316744915,6614417.41293631
21,1561946691.0,50.96111,6.96155,0,774956.2011319136,6614417.41293631
22,1561946702.0,50.9611,6.96213,0,775020.7664365737,6614415.645533308
23,1561946713.0,50.96102,6.96355,0,775178.8401135001,6614401.506322976
24,1561946724.0,50.96109,6.96381,0,775207.7831811063,6614413.878130683
25,1561946735.0,50.96111,6.96384,0,775211.1227658303,6614417.41293631
26,1561946746.0,50.96148,6.9641,0,775240.0658334366,6614482.807114854
27,1561946757.0,50.96173,6.96424,0,775255.6505621476,6614526.992665442
28,1561946768.0,50.96224,6.96459,0,775294.6123839252,6614617.131925884
29,1561946779.0,50.9627,6.96495,0,775334.6874006108,6614698.434852663
30,1561946790.0,50.96287,6.96508,0,775349.1589344139,6614728.481790194
31,1561946801.0,50.96304,6.96517,0,775359.1776885852,6614758.52883767
32,1561946812.0,50.96328,6.96526,0,775369.1964427567,6614800.948385993
33,1561946823.0,50.96347,6.96536,0,775380.328391836,6614834.530683831
34,1561946834.0,50.96355,6.96536,0,775380.328391836,6614848.670639794
35,1561946845.0,50.9638,6.96521,0,775363.6304682171,6614892.858159127
36,1561946856.0,50.96403,6.96508,0,775349.1589344139,6614933.510886926
37,1561946867.0,50.96472,6.96497,0,775336.9137904266,6615055.47027793
38,1561946878.0,50.96537,6.96485,0,775323.5554515314,6615170.361216295
39,1561946889.0,50.96552,6.96478,0,775315.7630871759,6615196.874738059
40,1561946900.0,50.96568,6.96462,0,775297.951968649,6615225.155922301
41,1561946911.0,50.96579,6.96459,0,775294.6123839252,6615244.599292974
42,1561946922.0,50.96672,6.96479,0,775316.8762820838,6615408.985994241
43,1561946933.0,50.96675,6.96478,0,775315.7630871759,6615414.288845853
44,1561946944.0,50.96685,6.96473,0,775310.1971126363,6615431.965042616
45,1561946955.0,50.96805,6.96482,0,775320.2158668076,6615644.082371968
46,1561946966.0,50.96943,6.96494,0,775333.5742057029,6615888.024075318
47,1561946977.0,50.96967,6.96499,0,775339.1401802425,6615930.449459217
48,1561946988.0,50.97006,6.96502,0,775342.4797649663,6615999.391175598
49,1561946999.0,50.97014,6.96503,0,775343.5929598742,6616013.533137692
50,1561947010.0,50.97021,6.96508,0,775349.1589344139,6616025.907374503
51,1561947021.0,50.97033,6.96519,0,775361.4040784012,6616047.12039528
52,1561947032.0,50.97036,6.9652,0,775362.5172733092,6616052.423659042
53,1561947043.0,50.97038,6.96521,0,775363.6304682171,6616055.959170118
54,1561947054.0,50.97049,6.96542,0,775387.0075612835,6616075.4045082405
55,1561947065.0,50.97073,6.96521,0,775363.6304682171,6616117.8308603745
56,1561947076.0,50.97083,6.9652,0,775362.5172733092,6616135.508571802
57,1561947087.0,50.97109,6.96521,0,775363.6304682171,6616181.470799632
58,1561947098.0,50.9711,6.96546,0,775391.4603409154,6616183.238582767
59,1561947109.0,50.97108,6.96619,0,775472.7235691944,6616179.703016882
60,1561947120.0,50.97113,6.96709,0,775572.9111109084,6616188.541934444
61,1561947131.0,50.97115,6.96805,0,775679.7778220699,6616192.077504134
62,1561947142.0,50.97136,6.96804,0,775678.6646271619,6616229.20107779
63,1561947153.0,50.97181,6.96806,0,775680.8910169778,6616308.752157998
64,1561947164.0,50.97209,6.9681,0,775685.3437966096,6616358.250996915
65,1561947175.0,50.97286,6.96812,0,775687.5701864255,6616494.374342676
66,1561947186.0,50.97355,6.96815,0,775690.9097711492,6616616.35692053
