#;tick;lat;lng;trip_no
0;1561946460.0;5.096.081;694.791;0
1;1561946471.0;5.096.094;694.877;0
2;1561946482.0;5.096.216;694.838;0
3;1561946493.0;509.623;69.494;0
4;1561946504.0;5.096.146;694.966;0
5;1561946515.0;5.096.075;694.982;0
6;1561946526.0;509.608;694.989;0
7;1561946537.0;5.096.083;694.996;0
8;1561946548.0;5.096.085;695.004;0
9;1561946559.0;5.096.093;69.517;0
10;1561946570.0;5.096.092;695.184;0
11;1561946581.0;5.096.102;695.277;0
12;1561946592.0;5.096.102;695.306;0
13;1561946603.0;5.096.116;695.426;0
14;1561946614.0;5.096.116;695.434;0
15;1561946625.0;5.096.114;695.449;0
16;1561946636.0;5.096.118;695.636;0
17;1561946647.0;5.096.116;69.583;0
18;1561946658.0;5.096.109;695.999;0
19;1561946669.0;5.096.107;696.024;0
20;1561946680.0;5.096.111;696.127;0
21;1561946691.0;5.096.111;696.155;0
22;1561946702.0;509.611;696.213;0
23;1561946713.0;5.096.102;696.355;0
24;1561946724.0;5.096.109;696.381;0
25;1561946735.0;5.096.111;696.384;0
26;1561946746.0;5.096.148;69.641;0
27;1561946757.0;5.096.173;696.424;0
28;1561946768.0;5.096.224;696.459;0
29;1561946779.0;509.627;696.495;0
30;1561946790.0;5.096.287;696.508;0
31;1561946801.0;5.096.304;696.517;0
32;1561946812.0;5.096.328;696.526;0
33;1561946823.0;5.096.347;696.536;0
34;1561946834.0;5.096.355;696.536;0
35;1561946845.0;509.638;696.521;0
36;1561946856.0;5.096.403;696.508;0
37;1561946867.0;5.096.472;696.497;0
38;1561946878.0;5.096.537;696.485;0
39;1561946889.0;5.096.552;696.478;0
40;1561946900.0;5.096.568;696.462;0
41;1561946911.0;5.096.579;696.459;0
42;1561946922.0;5.096.672;696.479;0
43;1561946933.0;5.096.675;696.478;0
44;1561946944.0;5.096.685;696.473;0
45;1561946955.0;5.096.805;696.482;0
46;1561946966.0;5.096.943;696.494;0
47;1561946977.0;5.096.967;696.499;0
48;1561946988.0;5.097.006;696.502;0
49;1561946999.0;5.097.014;696.503;0
50;1561947010.0;5.097.021;696.508;0
51;1561947021.0;5.097.033;696.519;0
52;1561947032.0;5.097.036;69.652;0
53;1561947043.0;5.097.038;696.521;0
54;1561947054.0;5.097.049;696.542;0
55;1561947065.0;5.097.073;696.521;0
56;1561947076.0;5.097.083;69.652;0
57;1561947087.0;5.097.109;696.521;0
58;1561947098.0;509.711;696.546;0
59;1561947109.0;5.097.108;696.619;0
60;1561947120.0;5.097.113;696.709;0
61;1561947131.0;5.097.115;696.805;0
62;1561947142.0;5.097.136;696.804;0
63;1561947153.0;5.097.181;696.806;0
64;1561947164.0;5.097.209;69.681;0
65;1561947175.0;5.097.286;696.812;0
66;1561947186.0;5.097.355;696.815;0
67;1561947197.0;5.097.429;696.817;0
68;1561947208.0;5.097.431;696.852;0
69;1561947219.0;5.097.438;696.915;0
70;1561947230.0;5.097.453;697.089;0
71;1561947241.0;5.097.483;6.973;0
72;1561947252.0;509.749;697.346;0
73;1561947263.0;5.097.505;697.416;0
74;1561947274.0;5.097.508;697.428;0
75;1561947285.0;5.097.525;697.416;0
76;1561947296.0;5.097.648;697.326;0
77;1561947307.0;5.097.682;6.973;0
78;1561947318.0;5.097.729;697.261;0
79;1561947329.0;5.097.837;697.159;0
80;1561947340.0;5.097.976;697.029;0
81;1561946760.0;509.327;695.594;1
82;1561946770.0;5.093.259;695.554;1
83;1561946780.0;5.093.235;695.501;1
84;1561946790.0;5.093.207;695.453;1
85;1561946800.0;5.093.171;695.388;1
86;1561946810.0;5.093.111;695.268;1
87;1561946820.0;5.093.101;695.241;1
88;1561946830.0;5.093.091;695.199;1
89;1561946840.0;5.093.071;695.067;1
90;1561946850.0;5.093.051;694.953;1
91;1561946860.0;5.093.039;694.859;1
92;1561946870.0;5.093.029;694.751;1
93;1561946880.0;5.093.017;694.642;1
94;1561946890.0;5.093.003;694.567;1
95;1561946900.0;5.092.987;694.504;1
96;1561946910.0;5.092.967;694.431;1
97;1561946920.0;5.092.963;694.394;1
98;1561946930.0;5.092.965;694.367;1
99;1561946940.0;5.092.972;694.289;1
100;1561946950.0;5.092.969;69.426;1
101;1561946960.0;5.092.962;694.237;1
102;1561946970.0;5.092.943;694.198;1
103;1561946980.0;5.092.938;694.188;1
104;1561946990.0;5.092.935;694.187;1
105;1561947000.0;5.092.931;694.182;1
106;1561947010.0;5.092.912;69.415;1
107;1561947020.0;5.092.904;694.108;1
