tick,merged_mrx,merged_mry,merged_lat,merged_lng
1561946460,['773437.8032774933'],['6614364.391011688'],['50.96081'],['6.94791']
1561946461,['773446.5064376827'],['6614366.479750352'],['50.96082181818182'],['6.947988181818182']
1561946462,['773455.2095978719'],['6614368.568489015'],['50.96083363636364'],['6.9480663636363635']
1561946463,['773463.9127580612'],['6614370.657227679'],['50.960845454545456'],['6.948144545454546']
1561946464,['773472.6159182505'],['6614372.745966343'],['50.960857272727274'],['6.948222727272728']
1561946465,['773481.3190784398'],['6614374.834705006'],['50.96086909090909'],['6.948300909090909']
1561946466,['773490.022238629'],['6614376.92344367'],['50.96088090909091'],['6.948379090909091']
1561946467,['773498.7253988184'],['6614379.0121823335'],['50.96089272727273'],['6.948457272727272']
1561946468,['773507.4285590077'],['6614381.100920998'],['50.96090454545455'],['6.948535454545454']
1561946469,['773516.131719197'],['6614383.189659662'],['50.960916363636365'],['6.948613636363636']
1561946470,['773524.8348793862'],['6614385.278398325'],['50.96092818181818'],['6.948691818181818']
1561946471,['773533.5380395756'],['6614387.367136989'],['50.96094'],['6.94877']
1561946472,['773529.5912576292'],['6614406.9694307735'],['50.96105090909091'],['6.9487345454545455']
1561946473,['773525.644475683'],['6614426.571724558'],['50.96116181818182'],['6.94869909090909']
1561946474,['773521.6976937366'],['6614446.174018343'],['50.96127272727273'],['6.948663636363636']
1561946475,['773517.7509117903'],['6614465.776312128'],['50.961383636363635'],['6.948628181818182']
1561946476,['773513.8041298441'],['6614485.378605912'],['50.96149454545454'],['6.948592727272727']
1561946477,['773509.8573478977'],['6614504.980899696'],['50.961605454545456'],['6.948557272727273']
1561946478,['773505.9105659515'],['6614524.583193481'],['50.96171636363636'],['6.948521818181818']
1561946479,['773501.9637840051'],['6614544.185487266'],['50.96182727272727'],['6.948486363636364']
1561946480,['773498.0170020588'],['6614563.78778105'],['50.96193818181818'],['6.9484509090909095']
1561946481,['773494.0702201126'],['6614583.390074835'],['50.96204909090909'],['6.948415454545454']
1561946482,['773490.1234381662'],['6614602.99236862'],['50.96216'],['6.94838']
1561946483,['773500.4457909488'],['6614605.241845092'],['50.96217272727272'],['6.948472727272727']
