tick,trip_no,lat,lng,step_to_next,mercato_x,mercato_y
1561946460.0,0,50.96081,6.94791,11.0,773437.8032774933,6614364.391011688
1561946471.0,0,50.96094,6.94877,11.0,773533.5380395756,6614387.367136989
1561946482.0,0,50.96216,6.94838,11.0,773490.1234381662,6614602.99236862
1561946493.0,0,50.9623,6.9494,11.0,773603.6693187753,6614627.736609814
1561946504.0,0,50.96146,6.94966,11.0,773632.6123863816,6614479.272281078
1561946515.0,0,50.96075,6.94982,11.0,773650.4235049086,6614353.786667845
1561946526.0,0,50.9608,6.94989,11.0,773658.2158692641,6614362.623620095
1561946537.0,0,50.96083,6.94996,11.0,773666.0082336196,6614367.925796012
1561946548.0,0,50.96085,6.95004,11.0,773674.913792883,6614371.460581854
1561946559.0,0,50.96093,6.9517,11.0,773859.7041475999,6614385.599740453
1561946570.0,0,50.96092,6.95184,11.0,773875.2888763109,6614383.832344299
1561946581.0,0,50.96102,6.95277,11.0,773978.8160027488,6614401.506322976
1561946592.0,0,50.96102,6.95306,11.0,774011.0986550787,6614401.506322976
1561946603.0,0,50.96116,6.95426,11.0,774144.6820440306,6614426.249957031
1561946614.0,0,50.96116,6.95434,11.0,774153.587603294,6614426.249957031
1561946625.0,0,50.96114,6.95449,11.0,774170.2855269131,6614422.715147604
1561946636.0,0,50.96118,6.95636,11.0,774378.4529746965,6614429.7847679835
1561946647.0,0,50.96116,6.9583,11.0,774594.4127868356,6614426.249957031
1561946658.0,0,50.96109,6.95999,11.0,774782.5427262762,6614413.878130683
1561946669.0,0,50.96107,6.96024,11.0,774810.3725989744,6614410.343326579
1561946680.0,0,50.96111,6.96127,11.0,774925.0316744915,6614417.41293631
1561946691.0,0,50.96111,6.96155,11.0,774956.2011319136,6614417.41293631
1561946702.0,0,50.9611,6.96213,11.0,775020.7664365737,6614415.645533308
1561946713.0,0,50.96102,6.96355,11.0,775178.8401135001,6614401.506322976
1561946724.0,0,50.96109,6.96381,11.0,775207.7831811063,6614413.878130683
1561946735.0,0,50.96111,6.96384,11.0,775211.1227658303,6614417.41293631
1561946746.0,0,50.96148,6.9641,11.0,775240.0658334366,6614482.807114854
1561946757.0,0,50.96173,6.96424,11.0,775255.6505621476,6614526.992665442
1561946760.0,1,50.9327,6.95594,10.0,774331.6987885634,6609397.754792604
1561946768.0,0,50.96224,6.96459,11.0,775294.6123839252,6614617.131925884
1561946770.0,1,50.93259,6.95554,10.0,774287.170992246,6609378.325258698
1561946779.0,0,50.9627,6.96495,11.0,775334.6874006108,6614698.434852663
1561946780.0,1,50.93235,6.95501,10.0,774228.1716621256,6609335.933707866
1561946790.0,0,50.96287,6.96508,11.0,775349.1589344139,6614728.481790194
1561946790.0,1,50.93207,6.95453,10.0,774174.738306545,6609286.477175041
1561946800.0,1,50.93171,6.95388,10.0,774102.3806375292,6609222.890641757
1561946801.0,0,50.96304,6.96517,11.0,775359.1776885852,6614758.52883767
1561946810.0,1,50.93111,6.95268,10.0,773968.7972485773,6609116.914179994
1561946812.0,0,50.96328,6.96526,11.0,775369.1964427567,6614800.948385993
1561946820.0,1,50.93101,6.95241,10.0,773938.7409860631,6609099.251569281
1561946820.0,2,50.94758,6.95806,5.0,774567.6961090451,6612026.464508167
1561946820.0,3,50.95019,6.95694,11.0,774443.0182793568,6612487.635408874
1561946823.0,0,50.96347,6.96536,11.0,775380.328391836,6614834.530683831
1561946825.0,2,50.94893,6.95845,5.0,774611.1107104544,6612264.997947898
1561946830.0,1,50.93091,6.95199,10.0,773891.98679993,6609081.58899654
1561946830.0,2,50.94933,6.95858,5.0,774625.5822442576,6612335.675853084
1561946831.0,3,50.94933,6.95689,11.0,774437.4523048169,6612335.675853084
1561946834.0,0,50.96355,6.96536,11.0,775380.328391836,6614848.670639794
1561946835.0,2,50.95011,6.95893,5.0,774664.5440660352,6612473.499517636
1561946840.0,1,50.93071,6.95067,10.0,773745.0450720828,6609046.263964984
1561946840.0,2,50.9501,6.95908,5.0,774681.2419896543,6612471.732532939
1561946842.0,3,50.94909,6.9569,11.0,774438.5654997249,6612293.269036985
1561946845.0,0,50.9638,6.96521,11.0,775363.6304682171,6614892.858159127
1561946845.0,2,50.95013,6.95909,5.0,774682.3551845622,6612477.033488161
1561946850.0,1,50.93051,6.94953,10.0,773618.1408525784,6609010.939085322
1561946850.0,2,50.95015,6.95912,5.0,774685.694769286,6612480.567460211
1561946853.0,3,50.94924,6.95662,11.0,774407.3960423027,6612319.773271388
1561946855.0,2,50.95016,6.95938,5.0,774714.6378368923,6612482.334446809
1561946856.0,0,50.96403,6.96508,11.0,775349.1589344139,6614933.510886926
1561946860.0,1,50.93039,6.94859,10.0,773513.5005312328,6608989.744230439
1561946860.0,2,50.95018,6.95953,5.0,774731.3357605112,6612485.86842114
1561946864.0,3,50.94937,6.9564,11.0,774382.9057543284,6612342.743677054
1561946865.0,2,50.95029,6.95977,5.0,774758.0524383016,6612505.305307141
1561946867.0,0,50.96472,6.96497,11.0,775336.9137904266,6615055.47027793
1561946870.0,1,50.93029,6.94751,10.0,773393.2754811761,6608972.08189314
1561946870.0,2,50.9503,6.95977,5.0,774758.0524383016,6612507.072299057
1561946875.0,2,50.95037,6.95966,5.0,774745.8072943144,6612519.441253123
1561946875.0,3,50.94944,6.95625,11.0,774366.2078307093,6612355.112383642
1561946878.0,0,50.96537,6.96485,11.0,775323.5554515314,6615170.361216295
1561946880.0,1,50.93017,6.94642,10.0,773271.9372362114,6608950.887138498
1561946880.0,2,50.95063,6.95949,5.0,774726.8829808794,6612565.383245602
1561946880.0,4,50.96842,6.97777,7.0,776761.8032725805,6615709.486320476
1561946885.0,2,50.95067,6.95931,5.0,774706.8454725367,6612572.451267257
1561946886.0,3,50.94985,6.95461,11.0,774183.6438658083,6612427.5580391325
1561946887.0,4,50.96779,6.97808,7.0,776796.3123147264,6615598.123152252
1561946889.0,0,50.96552,6.96478,11.0,775315.7630871759,6615196.874738059
1561946890.0,1,50.93003,6.94567,10.0,773188.4476181164,6608926.159993867
1561946890.0,2,50.95079,6.95875,5.0,774644.5065576925,6612593.655368718
1561946894.0,4,50.96774,6.97807,7.0,776795.1991198185,6615589.284870262
1561946895.0,2,50.95079,6.95865,5.0,774633.3746086131,6612593.655368718
1561946897.0,3,50.94982,6.95445,11.0,774165.8327472814,6612422.257115846
1561946900.0,0,50.96568,6.96462,11.0,775297.951968649,6615225.155922301
1561946900.0,1,50.92987,6.94504,10.0,773118.3163389167,6608897.900491135
1561946900.0,2,50.95069,6.95843,5.0,774608.8843206386,6612575.985280369
1561946901.0,4,50.9676,6.97744,7.0,776725.0678406187,6615564.537731302
1561946905.0,2,50.95068,6.95832,5.0,774596.6391766513,6612574.218273623
1561946908.0,3,50.94961,6.95384,11.0,774097.9278578975,6612385.15074861
1561946908.0,4,50.96757,6.97725,7.0,776703.917137368,6615559.234782654
1561946910.0,1,50.92967,6.94431,10.0,773037.0531106376,6608862.576249419
1561946910.0,2,50.95037,6.95833,5.0,774597.7523715593,6612519.441253123
1561946911.0,0,50.96579,6.96459,11.0,775294.6123839252,6615244.599292974
1561946915.0,2,50.95037,6.95828,5.0,774592.1863970197,6612519.441253123
1561946915.0,4,50.96796,6.97707,7.0,776683.8796290254,6615628.173382186
1561946919.0,3,50.94928,6.95287,11.0,773989.947951828,6612326.841081671
1561946920.0,1,50.92963,6.94394,10.0,772995.864899044,6608855.511419302
1561946920.0,2,50.95046,6.9581,5.0,774572.1488886769,6612535.344221438
1561946922.0,0,50.96672,6.96479,11.0,775316.8762820838,6615408.985994241
1561946922.0,4,50.96816,6.97697,7.0,776672.7476799459,6615663.52673467
1561946929.0,4,50.96885,6.97651,7.0,776621.540714181,6615785.4969692575
1561946930.0,1,50.92965,6.94367,10.0,772965.8086365298,6608859.043833601
1561946930.0,3,50.94883,6.95163,11.0,773851.9117832443,6612247.328566633
1561946933.0,0,50.96675,6.96478,11.0,775315.7630871759,6615414.288845853
1561946936.0,4,50.96898,6.97642,7.0,776611.5219600097,6615808.477071364
1561946940.0,1,50.92972,6.94289,10.0,772878.9794337112,6608871.407295607
1561946941.0,3,50.94837,6.95038,11.0,773712.7624197528,6612166.049902439
1561946943.0,4,50.96905,6.97665,7.0,776637.1254428921,6615820.850999141
1561946944.0,0,50.96685,6.96473,11.0,775310.1971126363,6615431.965042616
